,exptid,id,sclass,t_train,t_eval,mse,mae,mape,smape
37,75,501011142,R,31.333019763350002,9.93914692999988,0.007079496499621094,0.037846641106732935,7.245081936674746,5.133709054429675
38,263,501010052,M,35.17762442405,1.5272599750001064,0.0008260412,0.015403961,1.8837057054042816,1.826070062816143
39,96,501017062,R,31.640396467683335,9.990084042000037,0.0023391227927385162,0.033714711019237016,4.040271960190978,3.8694695327584885
40,147,501012111,D,487.62702396441665,23.985207330999398,0.0020367628775203182,0.02044026250628767,3.0865180028493326,2.6600168754680404
42,197,500017012,D,476.8207608394501,22.55735343099877,0.003067303727190361,0.032207140267115825,5.5348942650546755,4.785181683506877
43,198,500010093,M,31.915690600416667,1.4517250129999866,0.008692119,0.04360794,15.884421765804289,8.977720886468886
44,102,500010142,D,432.69224607356665,18.90458814399972,0.009705857584619771,0.04836461603682965,14.294074249538117,8.963919112319473
45,28,500014133,R,31.480291010533335,9.953563847999929,0.01114284308732105,0.04584713879839492,19.566917010010584,7.198702229473488
46,81,501012101,R,32.60946538298333,10.415690532000099,0.0009937414583750645,0.017915054868303006,2.1531542359598443,2.1348543781185003
47,148,501016072,D,429.4380688865167,19.108619423001073,0.0012222410503978224,0.01697585068502945,2.1559022864904924,1.9566968503445188
48,181,501012112,D,462.08937070691667,18.75354015300036,0.0006642075445742514,0.01646538137011674,1.95330913079135,1.9096878668475263
49,287,501016143,M,44.13424107065,1.9924218989999645,0.0050912592999999996,0.053163207999999997,7.7476538717746735,7.195746898651122
50,277,501012072,M,35.83159147746667,1.5716556869997476,0.0005517702,0.013100848,1.8682390451431277,1.8046468496322632
51,86,501016102,R,31.5178040627,10.18105171100001,0.006971159129359804,0.036681450803249714,8.31048352336166,5.893217652116507
52,61,501017051,R,33.048312760516666,10.48283357399987,0.006535803779839478,0.05000977367011193,7.634513503097364,6.402224868138299
54,279,501012101,M,34.69088054436667,1.5813062960000934,0.0005084107,0.011223569499999999,1.3773095794022083,1.3362823985517025
55,281,501016071,M,32.89294322285,1.413297027999988,0.009423326999999999,0.045501232,11.5199014544487,8.092646300792692
56,290,501017022,M,33.852894398766665,1.5286877549999645,0.0025453055,0.01824142,3.588014841079712,2.4801254272460938
57,282,501016082,M,35.536492815033334,1.635408068000288,0.015781016999999998,0.057318117,33.82962942123413,13.075155019760132
58,219,500011062,M,31.947076541716665,1.4268589329999486,0.0010345945,0.019212121000000002,2.416765317320824,2.137378789484501
59,44,501012042,R,33.89201297746666,10.798972656999695,0.0046721522946640524,0.04201358030486789,6.442979834795631,5.378158466824366
60,21,500011062,R,32.971284705466665,10.663431332999837,0.0015577224279083818,0.0234737248499636,2.7966293666348947,2.647619952276925
61,211,500014132,M,31.706403541799997,1.5056635139999344,0.003006412,0.025105442999999998,4.042360931634904,3.2107967883348465
63,292,501017042,M,34.91224285728334,1.563207505000264,0.003665142,0.03884698,7.513897120952606,4.995618760585785
64,16,500010121,R,35.47541514103333,11.244840266000212,0.001138253316951209,0.024306014760135962,2.9065733965146188,2.9389890904704696
66,214,500010121,M,35.027778309283335,1.5586392710001746,0.0005651754,0.012048271499999999,1.480103936046362,1.4522969722747805
67,256,501017023,M,32.81982264225,1.4075133679998544,0.0021839265,0.020685442,3.0303621664643288,2.6109505444765095
68,64,501010032,R,33.7940272997,10.808479444999875,0.0008413952815727329,0.02062651792188987,2.4010806269004608,2.3450079659516567
69,92,501017022,R,32.78663361426667,10.26593677699998,0.0033113293139267128,0.032300360733656316,5.04222951292566,4.1318006164887855
70,131,501010061,D,391.1338577333833,16.744582253999397,0.0016490748942977972,0.019812203527072636,2.78773695671626,2.691943537566565
71,48,501012111,R,31.4962946326,9.999770878999923,0.0027951719269868236,0.024132238880800662,3.5097472582129754,3.1346420139537505
72,79,501012072,R,36.14129729023333,11.410818430999825,0.0018294420995146156,0.0338182473591086,4.690313808151512,4.50503011920754
73,18,500011022,R,31.53343206413333,10.208873651999967,0.0019268206216386864,0.02496173879453532,3.6585847429166463,3.5314612224723927
74,269,501011041,M,34.68398895478334,1.529322647999834,0.00020461845000000002,0.009811113,1.1491902172565458,1.1359900236129759
75,33,501010102,R,32.49909393138333,10.589977270999952,0.005841383377992866,0.04763794353636134,7.661029135139603,7.015342373210938
76,169,501010153,D,380.2495828195334,17.110001477001788,0.00021698688953204631,0.010320674091205484,1.2850307000501762,1.2694188123926191
77,122,500011102,D,392.31312408968336,17.521363018000557,0.0005475032970409064,0.01328209086824176,1.722429413697419,1.7258450609657188
78,202,500011021,M,31.693855922533334,1.4277991779999866,0.00027029062000000003,0.011189372,1.3767823576927185,1.3626981526613235
79,31,501010053,R,31.470227583466666,10.212265960999957,0.0009989971194008537,0.018234346927454702,2.435699010314956,2.3438066782707434
80,143,501012042,D,427.02066110163327,18.504595244001397,0.00250459016563082,0.02512541511884394,4.3891859441765835,3.2162604029448887
81,296,500017012,M,32.397581594483334,1.4763698679998924,0.003833654,0.041339226,6.751733273267746,6.021317467093468
82,248,501016081,M,32.94895736783334,1.4131661630001418,0.0009346115,0.018967975,2.603742852807045,2.3995529860258102
83,163,501010032,D,470.7050880602667,23.51763998999741,0.00044266719485720984,0.014382253217641925,1.6770473585096448,1.649269165568907
85,226,500014133,M,32.114983528299994,1.4292064469998422,0.0063029253000000006,0.03027311,13.413490355014801,4.895921424031258
87,43,501012022,R,32.484634441,10.352765117999981,0.02295468776114857,0.13362604336073314,16.709627927633164,17.292247540253495
88,20,500011053,R,32.78671129311667,10.383999283000094,0.003500807492508653,0.024674232562002556,5.1280236118023215,3.1501179452651096
89,284,501016102,M,45.3887606498,2.0875355160001163,0.005308183,0.031067072999999997,7.321140915155411,5.231370031833649
90,173,501011131,D,394.21547135674996,17.013009848000365,0.0049781547107694704,0.03205548256125577,5.587604592465349,4.159107379028496
91,160,501017051,D,384.48202208936675,17.37583407400234,0.003546519594780713,0.03223218475533954,5.061454388059518,4.30715561914478
92,233,501010131,M,33.70385390831667,1.5613275700000033,0.0038120985999999996,0.029080143,5.39780966937542,4.451405629515649
93,103,500011021,D,405.90739724549996,17.938544553999233,0.00028920617034274183,0.011114248168496757,1.368053297008636,1.3519062938741122
94,199,500010101,M,31.86667558655,1.4228058829999097,0.010972715,0.049536634,22.60652035474777,12.33021467924118
